Time resolution is 1 ps
========== CPU 整体测试 ==========
PC=06, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=60, ACC=0000
PC=08, IR=60, ACC=0000
PC=08, IR=60, ACC=0000
PC=08, IR=60, ACC=0000
PC=0e, IR=60, ACC=0000
PC=0e, IR=60, ACC=0000
PC=0e, IR=60, ACC=0000
PC=0e, IR=60, ACC=0000
PC=0e, IR=60, ACC=0000
PC=0e, IR=60, ACC=0000
PC=0e, IR=50, ACC=0000
PC=0f, IR=50, ACC=0000
PC=0f, IR=50, ACC=0000
PC=06, IR=50, ACC=0000
PC=06, IR=50, ACC=0000
PC=06, IR=50, ACC=0000
PC=06, IR=50, ACC=0000
PC=06, IR=50, ACC=0000
PC=06, IR=50, ACC=0000
PC=06, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=60, ACC=0000
PC=08, IR=60, ACC=0000
PC=08, IR=60, ACC=0000
PC=08, IR=60, ACC=0000
PC=0e, IR=60, ACC=0000
PC=0e, IR=60, ACC=0000
PC=0e, IR=60, ACC=0000
PC=0e, IR=60, ACC=0000
PC=0e, IR=60, ACC=0000
PC=0e, IR=60, ACC=0000
PC=0e, IR=50, ACC=0000
PC=0f, IR=50, ACC=0000
PC=0f, IR=50, ACC=0000
PC=06, IR=50, ACC=0000
PC=06, IR=50, ACC=0000
PC=06, IR=50, ACC=0000
PC=06, IR=50, ACC=0000
PC=06, IR=50, ACC=0000
PC=06, IR=50, ACC=0000
PC=06, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=10, ACC=0000
PC=07, IR=60, ACC=0000
PC=08, IR=60, ACC=0000
PC=08, IR=60, ACC=0000
PC=08, IR=60, ACC=0000
PC=0e, IR=60, ACC=0000
PC=0e, IR=60, ACC=0000
PC=0e, IR=60, ACC=0000
PC=0e, IR=60, ACC=0000
PC=0e, IR=60, ACC=0000
PC=0e, IR=60, ACC=0000
PC=0e, IR=50, ACC=0000
PC=0f, IR=50, ACC=0000
PC=0f, IR=50, ACC=00
